estacao,codigo,estado
CRUZEIRO DO SUL,A108,AC
EPITACIOLANDIA,A140,AC
FEIJO,A138,AC
MARECHAL THAUMATURGO,A137,AC
PARQUE ESTADUAL CHANDLESS,A102,AC
PORTO WALTER,A136,AC
RIO BRANCO,A104,AC
APUI,A113,AM
AUTAZES,A120,AM
BARCELOS,A128,AM
BOCA DO ACRE,A110,AM
COARI,A117,AM
EIRUNEPE,A109,AM
HUMAITA,A112,AM
ITACOATIARA,A121,AM
LABREA,A111,AM
MANACAPURU,A119,AM
MANAUS,A101,AM
MANICORE,A133,AM
MAUES,A122,AM
NOVO AIRAO,A127,AM
NOVO ARIPUANA,A144,AM
PARINTINS,A123,AM
PRESIDENTE FIGUEIREDO,A126,AM
RIO URUBU,A125,AM
S. G. DA CACHOEIRA,A134,AM
URUCARA,A124,AM
ITAUBAL,A251,AP
MACAPA,A249,AP
OIAPOQUE,A242,AP
PORTO GRANDE,A244,AP
TARTARUGALZINHO,A243,AP
ALTAMIRA,A253,PA
BELEM,A201,PA
BRAGANCA,A226,PA
BREVES,A228,PA
CAMETA,A236,PA
CAPITAO POCO,A248,PA
CASTANHAL,A202,PA
CONCEICAO DO ARAGUAIA,A241,PA
DOM ELISEU,A252,PA
FLORESTA DO ARAGUAIA,A208,PA
ITAITUBA,A231,PA
MARABA,A240,PA
MEDICILANDIA,A209,PA
MINA DO PALITO,A246,PA
MONTE ALEGRE,A239,PA
NOVO REPARTIMENTO,A235,PA
OBIDOS,A232,PA
PACAJA,A210,PA
PARAGOMINAS,A212,PA
PLACAS,A211,PA
REDENCAO,A254,PA
RONDON DO PARA,A214,PA
SALINOPOLIS,A215,PA
SANTA MARIA DAS BARREIRAS,A256,PA
SANTANA DO ARAGUAIA,A233,PA
SANTAREM,A250,PA
SAO FELIX DO XINGU,A216,PA
SERRA DOS CARAJAS,A230,PA
SOURE,A227,PA
TOME ACU,A213,PA
TUCUMA,A234,PA
TUCURUI,A229,PA
XINGUARA,A247,PA
ARIQUEMES,A940,RO
CACOAL,A939,RO
PORTO VELHO,A925,RO
VILHENA,A938,RO
BOA VISTA,A135,RR
ALMAS,A053,TO
ARAGUACU,A054,TO
ARAGUAINA,A021,TO
ARAGUATINS,A044,TO
CAMPOS LINDOS,A043,TO
COLINAS DO TOCANTINS,A049,TO
DIANOPOLIS,A038,TO
FORMOSO DO ARAGUAIA,A039,TO
GURUPI,A019,TO
LAGOA DA CONFUSAO,A055,TO
MARIANOPOLIS DO TO,A041,TO
MATEIROS,A040,TO
PALMAS,A009,TO
PARANA,A010,TO
PEDRO AFONSO,A020,TO
PEIXE,A018,TO
PIUM,A051,TO
RIO SONO,A050,TO
SANTA FE DO ARAGUAIA,A048,TO
SANTA ROSA DO TOCANTINS,A052,TO
ARAPIRACA,A353,AL
CORURIPE,A355,AL
MACEIO,A303,AL
PALMEIRA DOS INDIOS,A327,AL
PAO DE ACUCAR,A323,AL
PIRANHAS,A371,AL
SAO LUIS DO QUITUNDE,A356,AL
ABROLHOS,A422,BA
AMARGOSA,A434,BA
AREMBEPE,A403,BA
BARRA,A429,BA
BARREIRAS,A402,BA
BELMONTE,A447,BA
BOM JESUS DA LAPA,A418,BA
BRUMADO,A433,BA
BURITIRAMA,A432,BA
CARAVELAS,A405,BA
CONDE,A431,BA
CORRENTINA,A416,BA
CRUZ DAS ALMAS,A406,BA
CURACA,A448,BA
DELFINO,A443,BA
EUCLIDES DA CUNHA,A442,BA
FEIRA DE SANTANA,A413,BA
FORMOSO DO RIO PRETO,A452,BA
GUANAMBI,A426,BA
IBOTIRAMA,A439,BA
ILHEUS,A410,BA
IPIAU,A445,BA
IRECE,A424,BA
ITABERABA,A408,BA
ITAMARAJU,A455,BA
ITAPETINGA,A446,BA
ITIRUCU,A407,BA
JACOBINA,A440,BA
JEREMOABO,A450,BA
LENCOIS,A425,BA
LUIZ EDUARDO MAGALHAES,A404,BA
MACAJUBA,A412,BA
MACAUBAS,A454,BA
MARAU,A438,BA
PAULO AFONSO,A411,BA
PIATA,A430,BA
PILAO ARCADO,A449,BA
PORTO SEGURO,A427,BA
QUEIMADAS,A436,BA
REMANSO,A423,BA
RIBEIRA DO AMPARO,A458,BA
SALVADOR,A401,BA
SALVADOR-RADIO FAROL,A456,BA
SANTA RITA DE CASSIA,A415,BA
SENHOR DO BONFIM,A428,BA
SERRINHA,A441,BA
UAUA,A435,BA
UNA,A437,BA
VALENCA,A444,BA
VITORIA DA CONQUISTA,A414,BA
ACARAU,A360,CE
BARBALHA,A315,CE
CAMPOS SALES,A347,CE
CRATEUS,A342,CE
FORTALEZA,A305,CE
GUARAMIRANGA,A314,CE
IGUATU,A319,CE
ITAPIPOCA,A359,CE
JAGUARIBE,A358,CE
JAGUARUANA,A339,CE
MORADA NOVA,A332,CE
QUIXADA,A369,CE
QUIXERAMOBIM,A325,CE
SOBRAL,A306,CE
TAUA,A324,CE
TIANGUA,A368,CE
ALTO PARNAIBA,A223,MA
BACABAL,A220,MA
BALSAS,A204,MA
BARRA DO CORDA,A221,MA
BURITICUPU,A238,MA
CAROLINA,A205,MA
CAXIAS,A237,MA
CHAPADINHA,A206,MA
COLINAS,A222,MA
ESTREITO,A224,MA
FAROL de SANTANA,A217,MA
GRAJAU,A207,MA
IMPERATRIZ,A225,MA
PREGUICAS,A218,MA
SAO LUIS,A203,MA
TURIACU,A219,MA
ZE DOCA,A255,MA
AREIA,A310,PB
CABACEIRAS,A348,PB
CAMARATUBA,A352,PB
CAMPINA GRANDE,A313,PB
ITAPORANGA,A373,PB
JOAO PESSOA,A320,PB
MONTEIRO,A334,PB
PATOS,A321,PB
SAO GONCALO,A333,PB
ARCO VERDE,A309,PE
CABROBO,A329,PE
CARUARU,A341,PE
FLORESTA,A351,PE
GARANHUNS,A322,PE
IBIMIRIM,A349,PE
OURICURI,A366,PE
PALMARES,A357,PE
PETROLINA,A307,PE
RECIFE,A301,PE
SALGUEIRO,A370,PE
SERRA TALHADA,A350,PE
SURUBIM,A328,PE
ALVORADA DO GURGUEIA,A336,PI
ANGICAL DO PIAUI,A377,PI
BAIXA GRANDE DO RIBEIRO,A375,PI
BOM JESUS DO PIAUI,A326,PI
CAMPO MAIOR,A376,PI
CANTO DO BURITI,A365,PI
CARACOL,A337,PI
CASTELO DO PIAUI,A361,PI
CORRENTE,A374,PI
ESPERANTINA,A338,PI
FLORIANO,A311,PI
GILBUES,A364,PI
OEIRAS,A354,PI
PARNAIBA,A308,PI
PAULISTANA,A330,PI
PICOS,A343,PI
PIRIPIRI,A335,PI
SAO JOAO DO PIAUI,A331,PI
SAO PEDRO DO PIAUI,A362,PI
SAO RAIMUNDO NONATO,A345,PI
TERESINA,A312,PI
URUCUI,A346,PI
VALENCA DO PIAUI,A363,PI
APODI,A340,RN
ARQ.SAO PEDRO E SAO PAULO,A302,RN
CAICO,A316,RN
CALCANHAR,A344,RN
IPANGUACU,A372,RN
MACAU,A317,RN
MOSSORO,A318,RN
NATAL,A304,RN
SANTA CRUZ,A367,RN
ARACAJU,A409,SE
BREJO GRANDE,A421,SE
CARIRA,A420,SE
ITABAIANA,A451,SE
ITABAIANINHA,A417,SE
NOSSA SENHORA DA GLORIA,A453,SE
POCO VERDE,A419,SE
CAMPINA DA LAGOA,B803,PR
CASTRO,A819,PR
CIDADE GAUCHA,A869,PR
CLEVELANDIA,A876,PR
COLOMBO,B806,PR
CURITIBA,A807,PR
DIAMANTE DO NORTE,A849,PR
DOIS VIZINHOS,A843,PR
FOZ DO IGUACU,A846,PR
GENERAL CARNEIRO,A875,PR
GOIOERE,A825,PR
ICARAIMA,A824,PR
ILHA DO MEL,A847,PR
INACIO MARTINS,A823,PR
IVAI,A818,PR
JAPIRA,A871,PR
JOAQUIM TAVORA,A821,PR
LARANJEIRAS DO SUL,B804,PR
MAL. CANDIDO RONDON,A820,PR
MARINGA,A835,PR
MORRETES,A873,PR
NOVA FATIMA,A842,PR
NOVA TEBAS,A822,PR
PARANAPOEMA,A850,PR
PLANALTO,A855,PR
SAO MATEUS DO SUL,A874,PR
VENTANIA,A872,PR
ALEGRETE,A826,RS
BAGE,A827,RS
BENTO GONCALVES,A840,RS
CACAPAVA DO SUL,A812,RS
CAMAQUA,A838,RS
CAMBARA DO SUL,A897,RS
CAMPO BOM,A884,RS
CANELA,A879,RS
CANGUCU,A811,RS
CAPAO DO LEAO (PELOTAS),A887,RS
CRUZ ALTA,A853,RS
DOM PEDRITO,A881,RS
ENCRUZILHADA DO SUL,A893,RS
ERECHIM,A828,RS
FREDERICO WESTPHALEN,A854,RS
IBIRUBA,A883,RS
JAGUARAO,A836,RS
LAGOA VERMELHA,A844,RS
MOSTARDAS,A878,RS
PALMEIRA DAS MISSOES,A856,RS
PASSO FUNDO,A839,RS
PORTO ALEGRE,A801,RS
QUARAI,A831,RS
RIO GRANDE,A802,RS
RIO PARDO,A813,RS
SANTA MARIA,A803,RS
SANTA ROSA,A810,RS
SANTANA DO LIVRAMENTO,A804,RS
SANTIAGO,A833,RS
SANTO AUGUSTO,A805,RS
SAO BORJA,A830,RS
SAO GABRIEL,A832,RS
SAO JOSE DOS AUSENTES,A829,RS
SAO LUIZ GONZAGA,A852,RS
SAO VICENTE DO SUL,A889,RS
SERAFINA CORREA,A894,RS
SOLEDADE,A837,RS
Santa Vitoria do Palmar - Barra do Chui,A899,RS
TEUTONIA,A882,RS
TORRES,A808,RS
TRAMANDAI,A834,RS
TUPANCIRETA,A886,RS
URUGUAIANA,A809,RS
VACARIA,A880,RS
ARARANGUA,A867,SC
BOM JARDIM DA SERRA - MORRO DA IGREJA,A845,SC
CACADOR,A859,SC
CAMPOS NOVOS,A898,SC
CHAPECO,A895,SC
CURITIBANOS,A860,SC
DIONISIO CERQUEIRA,A848,SC
FLORIANOPOLIS,A806,SC
INDAIAL,A817,SC
ITAJAI,A868,SC
ITAPOA,A851,SC
ITUPORANGA,A863,SC
JOACABA,A841,SC
LAGES,A865,SC
Laguna - Farol de Santa Marta,A866,SC
MAJOR VIEIRA,A864,SC
NOVO HORIZONTE,A816,SC
RANCHO QUEIMADO,A870,SC
RIO DO CAMPO,A861,SC
RIO NEGRINHO,A862,SC
SAO JOAQUIM,A815,SC
SAO MIGUEL DO OESTE,A857,SC
URUSSANGA,A814,SC
XANXERE,A858,SC
AFONSO CLAUDIO,A657,ES
ALEGRE,A617,ES
ALFREDO CHAVES,A615,ES
ECOPORANGA,A631,ES
ILHA DE TRINDADE,A650,ES
LINHARES,A614,ES
MARILANDIA,A632,ES
NOVA VENECIA,A623,ES
PRES. KENNEDY,A622,ES
SANTA TERESA,A613,ES
SAO MATEUS,A616,ES
VENDA NOVA DO IMIGRANTE,A633,ES
VILA VELHA,A634,ES
VITORIA,A612,ES
AGUAS VERMELHAS,A549,MG
AIMORES,A534,MG
ALFENAS,A504,MG
ALMENARA,A508,MG
ARACUAI,A566,MG
ARAXA,A505,MG
BAMBUI,A565,MG
BARBACENA,A502,MG
BELO HORIZONTE - CERCADINHO,F501,MG
BURITIS,A544,MG
CALDAS,A530,MG
CAMPINA VERDE,A519,MG
CAPELINHA,A541,MG
CARANGOLA,A503,MG
CARATINGA,A554,MG
CHAPADA GAUCHA,A548,MG
CONCEICAO DAS ALAGOAS,A520,MG
CONTAGEM,A501,MG
CORONEL PACHECO,A557,MG
CURVELO,A538,MG
DIAMANTINA,A537,MG
DIVINOPOLIS,A564,MG
DORES DO INDAIA,A536,MG
ESPINOSA,A543,MG
FLORESTAL,A535,MG
FORMIGA,A524,MG
GOVERNADOR VALADARES,A532,MG
GUANHAES,A533,MG
GUARDA-MOR,A546,MG
IBIRITE (ROLA MOCA),A555,MG
ITAOBIM,A550,MG
ITUIUTABA,A512,MG
JANAUBA,A563,MG
JANUARIA,A559,MG
JOAO PINHEIRO,A553,MG
JUIZ DE FORA,A518,MG
MACHADO,A567,MG
MANHUACU,A556,MG
MANTENA,A540,MG
MARIA DA FE,A531,MG
MOCAMBINHO,A539,MG
MONTALVANIA,A526,MG
MONTE VERDE,A509,MG
MONTES CLAROS,A506,MG
MURIAE,A517,MG
OLIVEIRA,A570,MG
OURO BRANCO,A513,MG
PAMPULHA,A521,MG
PARACATU,A571,MG
PASSA QUATRO,A529,MG
PASSOS,A516,MG
PATOS DE MINAS,A562,MG
PATROCINIO,A523,MG
PIRAPORA,A545,MG
POMPEU,A560,MG
RIO PARDO DE MINAS,A551,MG
SACRAMENTO,A525,MG
SALINAS,A552,MG
SAO JOAO DEL REI,A514,MG
SAO ROMAO,A547,MG
SAO SEBASTIAO DO PARAISO,A561,MG
SERRA DOS AIMORES,A522,MG
SETE LAGOAS,A569,MG
TEOFILO OTONI,A527,MG
TIMOTEO,A511,MG
TRES MARIAS,A528,MG
UBERABA,A568,MG
UBERLANDIA,A507,MG
UNAI,A542,MG
VARGINHA,A515,MG
VICOSA,A510,MG
ANGRA DOS REIS,A628,RJ
ARRAIAL DO CABO,A606,RJ
CAMBUCI,A604,RJ
CAMPOS DOS GOYTACAZES,A607,RJ
CAMPOS DOS GOYTACAZES - SAO TOME,A620,RJ
CARMO,A629,RJ
DUQUE DE CAXIAS - XEREM,A603,RJ
ENGENHO DE DENTRO,A655,RJ
ESCOLA NAVAL,A651,RJ
ITATIAIA,A635,RJ
JACAREPAGUA,A654,RJ
LAGOA R.DE FREITAS,A653,RJ
MACAE,A608,RJ
MARACANA,A656,RJ
NITEROI,A605,RJ
NITEROI,A627,RJ
NOVA FRIBURGO - SALINAS,A624,RJ
PARATI,A619,RJ
PICO DO COUTO,A610,RJ
RESENDE,A609,RJ
RIO CLARO,A626,RJ
RIO DE JANEIRO - FORTE DE COPACABANA,A652,RJ
RIO DE JANEIRO - JACAREPAGUA,A636,RJ
RIO DE JANEIRO - VILA MILITAR,A621,RJ
RIO DE JANEIRO-MARAMBAIA,A602,RJ
SANTA MARIA MADALENA,A630,RJ
SAQUAREMA - SAMPAIO CORREIA,A667,RJ
SEROPEDICA-ECOLOGIA AGRICOLA,A601,RJ
SILVA JARDIM,A659,RJ
TERESOPOLIS-PARQUE NACIONAL,A618,RJ
TRES RIOS,A625,RJ
VALENCA,A611,RJ
ARIRANHA,A736,SP
AVARE,A725,SP
BARRA BONITA,A741,SP
BARRA DO TURVO,A746,SP
BARRETOS,A748,SP
BARUERI,A755,SP
BAURU,A705,SP
BEBEDOURO,A764,SP
BERTIOGA,A765,SP
BRAGANCA PAULISTA,A744,SP
CACHOEIRA PAULISTA,A769,SP
CAMPOS DO JORDAO,A706,SP
CASA BRANCA,A738,SP
DRACENA,A762,SP
FRANCA,A708,SP
IBITINGA,A737,SP
IGUAPE,A712,SP
ITAPEVA,A714,SP
ITAPIRA,A739,SP
ITUVERAVA,A753,SP
JALES,A733,SP
JOSE BONIFACIO,A735,SP
LINS,A727,SP
MARILIA,A763,SP
MOELA,A745,SP
OURINHOS,A716,SP
PIRACICABA,A726,SP
PRADOPOLIS,A747,SP
PRESIDENTE PRUDENTE,A707,SP
RANCHARIA,A718,SP
REGISTRO,A766,SP
SAO CARLOS,A711,SP
SAO LUIS DO PARAITINGA,A740,SP
SAO MIGUEL ARCANJO,A715,SP
SAO PAULO - INTERLAGOS,A771,SP
SAO PAULO - MIRANTE,A701,SP
SAO SEBASTIAO,A767,SP
SAO SIMAO,A770,SP
SOROCABA,A713,SP
TAUBATE,A728,SP
TUPA,A768,SP
VALPARAISO,A734,SP
VOTUPORANGA,A729,SP
AGUAS EMENDADAS,A045,DF
BRASILIA,A001,DF
BRAZLANDIA,A042,DF
FACULDADE DA TERRA DE BRASILIA,A008,DF
GAMA (PONTE ALTA),A046,DF
PARANOA (COOPA-DF),A047,DF
ALTO PARAISO DE GOIAS,A024,GO
ARAGARCAS,A013,GO
CAIAPONIA,A023,GO
CATALAO,A034,GO
CRISTALINA,A036,GO
CRISTALINA (FAZENDA SANTA MONICA),A056,GO
CRIXAS,A006,GO
EDEIA,A029,GO
FAINA,A007,GO
GOIANESIA,A022,GO
GOIANIA,A002,GO
GOIAS,A014,GO
IPORA,A028,GO
ITAPACI,A015,GO
ITUMBIARA,A035,GO
JATAI,A016,GO
LUZIANIA,A012,GO
MINEIROS,A026,GO
MONTE ALEGRE DE GOIAS,A032,GO
MORRINHOS,A003,GO
NIQUELANDIA,A004,GO
PARAUNA,A027,GO
PIRES DO RIO,A033,GO
PORANGATU,A005,GO
POSSE,A017,GO
RIO VERDE,A025,GO
SAO MIGUEL DO ARAGUAIA,A031,GO
SAO SIMAO,A011,GO
SILVANIA,A037,GO
AGUA CLARA,A756,MS
AMAMBAI,A750,MS
ANGELICA,S701,MS
AQUIDAUANA,A719,MS
ARAL MOREIRA,S702,MS
BANDEIRANTES,S703,MS
BATAGUASSU,A759,MS
BELA VISTA,A757,MS
BONITO,S704,MS
BRASILANDIA,S705,MS
CAARAPO,S706,MS
CAMAPUA,S707,MS
CAMPO GRANDE,A702,MS
CASSILANDIA,A742,MS
CHAPADAO DO SUL,A730,MS
CORUMBA,A724,MS
COSTA RICA,A760,MS
COXIM,A720,MS
DOURADOS,A721,MS
FATIMA DO SUL,S708,MS
IGUATEMI,S709,MS
ITAPORA,S710,MS
ITAQUIRAI,A752,MS
IVINHEMA,A709,MS
JARDIM,A758,MS
JUTI,A749,MS
LAGUNA CARAPA,S711,MS
MARACAJU,A731,MS
MIRANDA,A722,MS
NHUMIRIM,A717,MS
NOVA ALVORADA DO SUL,S712,MS
NOVA ANDRADINA,S713,MS
PARANAIBA,A710,MS
PEDRO GOMES,S714,MS
PONTA PORA,A703,MS
PORTO MURTINHO,A723,MS
RIBAS DO RIO PARDO,S715,MS
RIO BRILHANTE,A743,MS
SANTA RITA DO PARDO,S716,MS
SAO GABRIEL DO OESTE,A732,MS
SELVIRIA,S717,MS
SETE QUEDAS,A751,MS
SIDROLANDIA,A754,MS
SONORA,A761,MS
TRES LAGOAS,A704,MS
AGUA BOA,A908,MT
ALTA FLORESTA,A924,MT
ALTO ARAGUAIA,A909,MT
ALTO TAQUARI,A934,MT
APIACAS,A910,MT
BRASNORTE (NOVO MUNDO),A927,MT
CACERES,A941,MT
CAMPO NOVO DOS PARECIS,A905,MT
CAMPO VERDE,A912,MT
CARLINDA,A926,MT
COMODORO,A913,MT
CONFRESA,A918,MT
COTRIGUACU,A919,MT
CUIABA,A901,MT
GAUCHA DO NORTE,A930,MT
GUARANTA DO NORTE,A906,MT
GUIRATINGA,A932,MT
ITIQUIRA,A933,MT
JUARA,A914,MT
JUINA,A920,MT
NOVA MARINGA,A928,MT
NOVA UBIRATA,A929,MT
PARANATINGA,A915,MT
PONTES E LACERDA,A937,MT
PORTO ESTRELA,A935,MT
PRIMAVERA DO LESTE,A923,MT
QUERENCIA,A916,MT
RONDONOPOLIS,A907,MT
ROSARIO OESTE,A944,MT
S.J. DO RIO CLARO,A903,MT
SALTO DO CEU,A936,MT
SANTO ANTONIO DO LESTE,A931,MT
SAO FELIX DO ARAGUAIA,A921,MT
SAO JOSE DO XINGU,A942,MT
SAPEZAL,A911,MT
SERRA NOVA DOURADA,A943,MT
SINOP,A917,MT
SORRISO,A904,MT
TANGARA DA SERRA,A902,MT
VILA BELA DA SANTISSIMA TRINDADE,A922,MT
BRASILEIA,83010,AC
CRUZEIRO DO SUL,82704,AC
RIO BRANCO,82915,AC
SENA MADUREIRA,82913,AC
TARAUACA,82807,AC
BARCELOS,82113,AM
BENJAMIN CONSTANT,82410,AM
CARAUARI,82418,AM
COARI,82425,AM
CODAJAS,82326,AM
EIRUNEPE,82610,AM
ESC.AGROTEC.DE MANAUS,82047,AM
FONTE BOA,82212,AM
HUMAITA,82727,AM
IAUARETE,82067,AM
ITACOATIARA,82336,AM
LABREA,82723,AM
MANAUS,82331,AM
MANICORE,82533,AM
MOURA,82167,AM
PARICACHOEIRA,82100,AM
PARINTINS,82240,AM
RIO ICANA,82105,AM
SAO GABRIEL DA CACHOEIRA(UAUPES),82106,AM
SAO PAULO DE OLIVENCA,82303,AM
St. MARIA DA BOCA DO ACRE,82816,AM
StIZABEL DO RIO NEGRO,82108,AM
TARACUA,82103,AM
TEFE,82317,AM
AMAPA,82029,AP
CUPIXI,82093,AP
MACAPA,82098,AP
PORTO PLATON,82095,AP
SERRA DO NAVIO,82092,AP
ALTAMIRA,82353,PA
